timestamp	ch1	ch2	ch3	ch4
265310	38974	31985	32710	32390
265317	29568	29737	32690	32646
265324	30276	28579	32716	32455
265331	31246	30738	32687	32861
265338	25730	30130	32696	32730
265345	20563	28613	32708	33082
265352	35377	32331	32686	32681
265359	33517	30389	32681	32672
265366	28853	25011	32750	33490
265373	46490	28929	32706	33346
265380	38358	26114	32697	33001
265387	46875	27128	32697	33405
265394	35856	29191	32719	32873
265401	33928	32154	32709	32780
265408	35191	31063	32708	32739
265415	19641	33607	32709	32705
265422	9494	36824	32688	33084
265429	24675	38973	32716	32138
265436	51362	65505	32664	32092
265443	50100	25850	32725	32465
265450	30589	30278	32676	32627
265457	35888	33341	32672	32192
265464	31638	29667	32687	32448
265471	30400	32310	32719	32557
265478	25971	32441	32681	32513
265485	30523	34413	32724	32273
265492	21122	28225	32696	32722
265499	27754	24698	32680	32695
265506	29250	23154	32702	32485
265513	27272	23753	32686	32263
265520	26982	23297	32736	32181
265527	24493	25898	32702	32627
265534	29829	29692	32701	32402
265541	25702	29521	32688	32717
265548	26290	32287	32697	32702
265555	26477	33508	32685	32356
265562	24614	34601	32732	32753
265569	33537	36393	32695	32145
265576	32641	36008	32707	32964
265583	30355	33092	32709	32686
265590	32738	37412	32696	32198
265597	32693	34222	32696	32856
265604	37037	38633	32725	32379
265611	28239	37512	32715	32425
265618	39703	38570	32700	32522
265625	38645	37574	32731	32712
265632	35565	36634	32699	32658
265639	42760	39679	32731	32494
265646	41263	38305	32720	32244
265653	35743	34855	32715	32520
265660	34128	35048	32702	33039
265667	33051	36489	32708	32759
265674	31915	34235	32700	32730
265681	38381	40477	32701	32539
265688	35148	39307	32720	32512
265695	25606	38739	32696	32515
265702	39252	41139	32682	32417
265709	31050	38855	32703	32400
265716	35106	38059	32712	32542
265723	34513	37946	32692	32616
265730	28595	38610	32717	32721
265737	35689	36157	32704	32651
265744	35200	35313	32705	32943
265751	23101	32705	32685	32957
265758	36639	34525	32717	32651
265765	38363	32252	32709	33014
265772	31248	32034	32689	32833
265779	34130	31417	32715	32886
265786	28342	31182	32742	32341
265793	35733	31443	32688	32543
265800	36337	30025	32714	32869
265807	32204	28708	32710	33395
265814	35471	29015	32711	32740
265821	33349	29776	32699	32292
265828	23339	28805	32713	32947
265835	24594	28539	32727	32949
265842	29637	28453	32717	32564
265849	29627	24838	32726	33189
265856	38113	25661	32735	33106
265863	38910	28874	32707	33121
265870	37218	27333	32709	33271
265877	44013	29586	32675	33221
265884	38742	25046	32692	33390
265891	40803	27679	32701	32983
265898	31090	27526	32716	33084
265905	39762	32892	32709	32861
265912	40865	34719	32728	33108
265919	14832	29421	32710	33188
265926	3586	30423	32729	32811
265933	45999	43138	32721	32476
265940	51245	65506	32693	32464
265947	49876	24011	32726	32633
265954	39614	31225	32702	32489
265961	33530	26002	32721	32640
265968	32598	30364	32689	32639
265975	31157	32871	32694	32211
265982	27972	29681	32696	32372
265989	20196	33955	32706	32205
265996	28310	35155	32682	31813
266003	21273	36709	32716	32140
266010	28249	38792	32700	32234
266017	29479	37639	32724	31708
266024	19099	35530	32720	32659
266031	23813	33781	32687	31982
266038	29549	33456	32712	32460
266045	21832	31755	32668	32333
266052	30926	32908	32688	32235
266059	21369	30670	32725	32595
266066	25993	30845	32714	32636
266073	29131	32304	32722	32433
266080	32799	30999	32695	33081
266087	30908	30294	32694	32827
266094	31185	30775	32712	32244
266101	23470	27750	32717	32839
266108	41424	32991	32717	32296
266115	44179	31303	32713	32070
266122	41049	29272	32715	32530
266129	39828	29472	32704	32612
266136	35102	30316	32688	32410
266143	37985	31441	32705	32740
266150	33068	29057	32695	32783
266157	34842	31918	32669	32700
266164	42833	32011	32714	32795
266171	38898	31597	32716	32765
266178	40659	29106	32725	33047
266185	32087	30546	32733	32832
266199	31442	28905	32693	33061
266206	31934	31857	32701	32760
266213	34434	30618	32717	32996
266220	37291	29869	32716	32906
266227	36279	30098	32691	33317
